Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
UX1997	UX1997-132	+	3	4/3/2022	1		Kinston	80	156
UX1997	UX1997-21	+	2	4/10/2022	1		Kinston	85	163
UX1997	UX1997-131	-	4	4/4/2022	0		Kinston	80	157
Parent	GA00190-7A14	+	2	4/5/2022	0		Kinston	85	158
UX1997	UX1997-122	+	2	4/6/2022	3		Kinston	90	159
UX1997	UX1997-30	+	4	3/31/2022	1		Kinston	75	153
UX1997	UX1997-116	+	2	4/6/2022	2		Kinston	85	159
UX1997	UX1997-149	-	2	4/11/2022	2		Kinston	80	164
Parent	TX12D4896	+	3	4/6/2022	1		Kinston	90	159
UX1997	UX1997-121	-	2	4/12/2022	1		Kinston	85	165
UX1997	UX1997-33	+	3	4/1/2022	1		Kinston	70	154
UX1997	UX1997-146	*	3	4/4/2022	0		Kinston	80	157
UX1997	UX1997-147	+	1	4/15/2022	1		Kinston	75	168
UX1997	UX1997-107	-	2	4/6/2022	3		Kinston	75	159
UX1995	UX1995-7	-	3	4/6/2022	1		Kinston	75	159
UX1995	UX1995-3	+	3	4/7/2022	1		Kinston	90	160
UX1995	UX1995-101	+	3	4/3/2022	1		Kinston	75	156
UX1995	UX1995-85	*	3	4/6/2022	3		Kinston	80	159
UX1995	UX1995-46	+	4	3/26/2022	2		Kinston	80	148
UX1995	UX1995-145	-	4	3/28/2022	3		Kinston	80	150
UX1995	UX1995-198	+	4	3/26/2022	3		Kinston	85	148
UX1995	UX1995-212	-	2	4/10/2022	1		Kinston	90	163
Parent	SS8641	-	2	4/7/2022	1		Kinston	90	160
UX1995	UX1995-195	-	4	3/28/2022	4		Kinston	75	150
Parent	NC08-23383	-	1	4/12/2022	1		Kinston	75	165
UX1995	UX1995-39	+	3	4/1/2022	2		Kinston	75	154
UX1995	UX1995-189	+	2	4/14/2022	1		Kinston	90	167
UX1995	UX1995-186	+	2	4/13/2022	1		Kinston	80	166
UX1995	UX1995-152	-	1	4/11/2022	0		Kinston	85	164
UX1995	UX1995-25	-	2	4/13/2022	2		Kinston	105	166
Parent	MPV57	-	1	4/15/2022	2		Kinston	80	168
UX1995	UX1995-192	+	2	4/11/2022	2		Kinston	80	164
UX1995	UX1995-175	-	4	3/27/2022	1		Kinston	70	149
UX1995	UX1995-100	-	2	4/11/2022	0		Kinston	80	164
UX1995	UX1995-48	+	3	4/6/2022	0		Kinston	85	159
UX1995	UX1995-40	+	2	4/12/2022	1		Kinston	95	165
UX1995	UX1995-2	-	3	3/28/2022	2		Kinston	65	150
Parent	GA06493-13LE6	+	2	4/13/2022	1		Kinston	85	166
UX1995	UX1995-15	+	4	3/25/2022	2		Kinston	80	147
UX1995	UX1995-51	-	1	4/13/2022	3		Kinston	85	166
Parent	GA001138-8E36	+	3	4/8/2022	1		Kinston	100	161
UX1995	UX1995-107	-	1	4/14/2022	0		Kinston	85	167
UX1995	UX1995-156	+	1	4/12/2022	1		Kinston	90	165
UX1995	UX1995-127	-	1	4/15/2022	0		Kinston	85	168
UX1995	UX1995-52	+	1	4/14/2022	2		Kinston	85	167
UX1995	UX1995-171	-	2	4/8/2022	1		Kinston	85	161
UX1995	UX1995-66	+	1	4/12/2022	0		Kinston	90	165
Parent	ARGA051160-14LE31	-	2	4/11/2022	1		Kinston	95	164
UX1995	UX1995-149	+	2	4/13/2022	3		Kinston	85	166
UX1995	UX1995-13	+	4	4/1/2022	2		Kinston	90	154
UX1995	UX1995-177	-	1	4/14/2022	4		Kinston	65	167
